"Index","ADS.DE","ADYEN.AS","AD.AS","AI.PA","AIR.PA","ALV.DE","ABI.BR","ASML.AS","CS.PA","BAS.DE","BAYN.DE","BBVA.MC","BNP.PA","BN.PA","DB1.DE","DHL.DE","DTE.DE","ENEL.MI","ENI.MI","EL.PA","RACE.MI","FLTR.L","RMS.PA","IBE.MC","ITX.MC","IFX.DE","INGA.AS","ISP.MI","KER.PA","OR.PA","MC.PA","MBG.DE","MUV2.DE","NOKIA.HE","NDA.FI.HE","RI.PA","HEIA.AS","SAF.PA","SGO.PA","SAN.PA","SAP.DE","SU.PA","SIE.DE","STLAM.MI","TTE.PA","UCG.MI","DG.PA","VOW3.DE","VNA.DE","WKL.AS"
"2024-07-02",214.027389526367,1117.19995117188,26.4270286560059,160.000106811523,129.947128295898,248.001892089844,53.6641044616699,954.27978515625,29.5583553314209,42.4532737731934,25.7312908172607,8.77176189422607,57.5356864929199,56.1848449707031,188.023056030273,36.682071685791,22.8404121398926,5.98449897766113,13.5195417404175,196.848815917969,378.449584960938,14950,2088.70629882812,11.6377143859863,44.2435188293457,33.8309211730957,14.9989280700684,3.26011943817139,319.384185791016,398.43017578125,692.474060058594,59.5746231079102,436.683380126953,3.46510910987854,10.3866081237793,119.441192626953,87.0305786132812,198.46142578125,72.881233215332,86.624626159668,183.541061401367,220.637359619141,170.8427734375,16.7146415710449,60.4826240539551,33.875560760498,97.2560882568359,99.2106704711914,25.1577548980713,150.423645019531
"2024-07-03",216.108215332031,1139,26.598014831543,161.296752929688,133.849090576172,249.248107910156,54.7059364318848,973.940368652344,30.0614376068115,42.9611587524414,26.0995216369629,8.95279598236084,58.945182800293,56.5153427124023,188.023056030273,37.7192535400391,23.0832920074463,6.02812147140503,13.4581232070923,198.226760864258,385.494659423828,15220,2103.611328125,11.7284469604492,44.6737289428711,34.4155769348145,15.161036491394,3.29151964187622,320.596374511719,398.233764648438,697.548645019531,60.0992240905762,430.786193847656,3.46367168426514,10.4746694564819,122.670608520508,86.9725799560547,200.933547973633,75.1703872680664,86.4234848022461,185.979034423828,225.156204223633,172.718872070312,16.8137836456299,61.2574424743652,34.4777679443359,98.6475219726562,99.9142913818359,25.7042446136475,150.130508422852
"2024-07-04",217.495422363281,1134,26.6645088195801,162.475540161133,134.105285644531,250.781951904297,54.8238792419434,972.359619140625,30.4506149291992,43.1462745666504,26.0796165466309,8.96399402618408,60.0633811950684,57.2152252197266,187.480911254883,37.9476280212402,23.0735759735107,6.04266262054443,13.5921268463135,200.588958740234,390.257537841797,15375,2108.57958984375,11.6360273361206,44.6737289428711,34.6633148193359,15.2789354324341,3.30583477020264,325.687530517578,400.738372802734,702.427917480469,60.6882514953613,435.233276367188,3.46702551841736,10.5349216461182,122.296173095703,87.3012847900391,202.416809082031,75.7573547363281,87.1609954833984,185.344772338867,226.482391357422,173.285614013672,16.7972602844238,62.1645393371582,35.1131744384766,99.1273193359375,100.946273803711,25.6850719451904,149.788513183594
"2024-07-05",218.288131713867,1138.19995117188,26.7215042114258,160.569854736328,134.282638549805,250.110885620117,54.1948471069336,981.0537109375,30.336706161499,42.8329963684082,26.0398082733154,8.97145938873291,59.8190727233887,56.9236106872559,184.573089599609,38.1759948730469,23.1512966156006,6.09446477890015,13.4506778717041,199.112579345703,384.899291992188,15395,2102.61767578125,11.6753549575806,44.4097328186035,35.4560737609863,15.205249786377,3.27812838554382,324.911712646484,402.751861572266,699.110046386719,60.2556838989258,430.786193847656,3.45792174339294,10.3263559341431,121.828155517578,86.7211990356445,200.241348266602,75.6595230102539,87.1035308837891,187.386322021484,223.731781005859,173.070648193359,16.6228427886963,61.7582321166992,35.103687286377,100.950576782227,100.242652893066,26.2603244781494,149.495407104492
"2024-07-08",216.801818847656,1104.19995117188,26.7784996032715,160.864532470703,133.691421508789,251.357147216797,54.0769081115723,985.894897460938,30.3841667175293,42.6668701171875,25.9303340911865,8.93413352966309,58.7666473388672,56.4570236206055,184.080230712891,38.337760925293,23.2193031311035,6.0653829574585,13.3092288970947,197.24250793457,393.432769775391,15520,2075.78833007812,11.6409435272217,44.5955123901367,35.3817558288574,15.2549886703491,3.29336714744568,315.844665527344,398.233764648438,678.909606933594,60.1820526123047,443.837371826172,3.48619103431702,10.1826763153076,120.096450805664,85.7737579345703,203.306777954102,76.0312728881836,88.2145919799805,186.157424926758,224.763259887695,173.109741210938,16.5420608520508,61.1157035827637,35.2127532958984,101.382392883301,100.195747375488,25.9726982116699,150.277084350586
"2024-07-09",214.126480102539,1104.80004882812,26.806999206543,157.956878662109,129.90771484375,249.152236938477,53.7230758666992,970.877685546875,30.0234680175781,41.9643783569336,25.2287082672119,8.86507892608643,57.3853378295898,56.2042846679688,183.685958862305,37.6431350708008,22.9667091369629,6.04266262054443,13.1324186325073,194.09294128418,392.242065429688,15535,2047.96545410156,11.5426244735718,44.3608474731445,34.6633148193359,15.2494621276855,3.28136086463928,312.159606933594,392.929840087891,670.322021484375,58.1204605102539,444.224060058594,3.4464225769043,9.95557022094727,118.785957336426,85.9477767944336,199.746932983398,73.6834182739258,88.1475448608398,183.105010986328,221.128540039062,169.298889160156,16.586124420166,59.7361602783203,34.8286628723145,98.9354019165039,100.008110046387,26.1069221496582,150.765625
"2024-07-10",219.278991699219,1132.59997558594,27.3674564361572,159.233901977539,131.346313476562,251.452987670898,54.5683364868164,989.945434570312,30.3461990356445,41.4612426757812,26,9.01625061035156,57.9021530151367,56.5153427124023,183.932388305664,38.0332679748535,23.1707286834717,6.11809396743774,13.1956977844238,193.551605224609,396.508819580078,15550,2072.80737304688,11.6261959075928,44.7812843322754,35.0745582580566,15.3692035675049,3.30121731758118,315.117340087891,396.22021484375,680.763671875,58.8567428588867,447.221008300781,3.49050331115723,10.025092124939,119.768814086914,86.2958221435547,202.515701293945,74.0355987548828,89.6034240722656,184.135696411133,223.830032348633,172.347564697266,16.9643325805664,59.5660781860352,35.1937828063965,99.7030944824219,99.6797561645508,27.1807308197021,151.791564941406
"2024-07-11",223.737899780273,1128.19995117188,27.4054527282715,160.550201416016,130.025955200195,253.178573608398,55.2366790771484,977.20068359375,30.4411201477051,41.8789405822754,26.5125350952148,9.06104373931885,58.2780227661133,56.9624900817871,185.410934448242,38.3472747802734,23.0832920074463,6.1698956489563,13.2143096923828,196.848815917969,390.852905273438,15645,2103.611328125,11.8130016326904,45.446159362793,34.9804191589355,15.3636770248413,3.31645584106445,321.323699951172,398.282867431641,692.864501953125,58.902759552002,446.640960693359,3.46223425865173,10.1177892684937,122.10897064209,86.4698486328125,202.021270751953,76.3051834106445,89.8524475097656,184.789794921875,225.892974853516,174.809951782227,17.0414428710938,59.3581962585449,34.7433090209961,100.134902954102,100.524101257324,27.9860858917236,147.199234008789
"2024-07-12",229.088577270508,1158,27.3769550323486,163.163177490234,131.40544128418,255.67106628418,55.5905113220215,990.143127441406,30.6119785308838,42.3915672302246,26.8061237335205,9.1319637298584,58.672679901123,57.4096374511719,189.353759765625,38.8515968322754,23.1998729705811,6.25714111328125,13.3017835617065,200.195251464844,395.318084716797,15925,2156.27587890625,11.8474130630493,46.2381439208984,35.7583122253418,15.4484148025513,3.34277653694153,328.936157226562,405.256500244141,707.307312011719,59.6206359863281,448.961181640625,3.51637649536133,10.1873111724854,121.874954223633,86.373161315918,202.515701293945,77.2638931274414,90.4175643920898,187.049362182617,230.755630493164,179.94970703125,17.1112098693848,60.0007286071777,35.1985282897949,101.478355407715,101.837532043457,27.8135089874268,150.325927734375
"2024-07-15",229.286743164062,1139.40002441406,27.1394729614258,160.275146484375,131.050704956055,254.233093261719,54.3914222717285,977.299438476562,30.5455341339111,41.4280166625977,26.2587566375732,9.1580924987793,58.9545822143555,56.7291984558105,188.1708984375,38.8896560668945,23.1221504211426,6.17171335220337,13.2496719360352,196.455123901367,390.753662109375,15870,2100.63012695312,11.6311111450195,45.3874931335449,35.4213905334473,15.3249912261963,3.33215594291687,311.577758789062,399.068603515625,688.570678710938,59.3261222839355,449.251220703125,3.47181677818298,9.79798698425293,118.879570007324,85.8124237060547,198.955856323242,76.8725814819336,88.5306701660156,186.078140258789,227.808563232422,176.744689941406,17.1258983612061,59.7928466796875,35.2222366333008,101.14249420166,101.509170532227,27.4587688446045,149.739669799805
