"Index","ADBE","ADP","AMD","GOOGL","GOOG","AMZN","AEP","AMGN","ADI","AAPL","AMAT","ASML","AZN","TEAM","ADSK","AXON","BKR","BIIB","BKNG","AVGO","CDNS","CDW","CHTR","CHKP","CTAS","CSCO","CCEP","CTSH","CMCSA","CPRT","CSGP","COST","CSX","DHR","DXCM","FANG","EA","EXC","FAST","FTNT","GILD","HON","IBM","IDXX","INTC","INTU","ISRG","KDP","KLAC","KHC","LRCX","LIN","LULU","MAR","MRVL","MA","MELI","META","MCHP","MU","MSFT","MSTR","MDLZ","MNST","NFLX","NVDA","NXPI","ODFL","ON","ORCL","ORLY","PCAR","PANW","PAYX","PAYC","PYPL","PDD","PEP","QCOM","REGN","ROP","ROST","CRM","NOW","SHOP","SBUX","SNPS","TTWO","TSLA","TXN","TMO","TMUS","TTD","VRSK","VRTX","V","WBD","WDAY","XEL","ZS"
"2019-01-02",224.570007324219,113.529136657715,18.8299999237061,52.4196281433105,51.9835014343262,76.9564971923828,57.4289474487305,155.932174682617,75.8552627563477,37.5752067565918,31.1267986297607,145.992004394531,31.7279605865479,89.0299987792969,128.960006713867,45.1100006103516,17.2928256988525,304.690002441406,1697.22290039062,21.0796203613281,43.2299995422363,73.1273193359375,287.989990234375,103.5,39.2940635681152,35.0548439025879,37.3654479980469,57.1443405151367,29.1110153198242,11.9200000762939,33.4720001220703,185.645217895508,18.8656787872314,86.6569213867188,28.7950000762939,74.3676223754883,78.2164001464844,24.8056755065918,9.95532321929932,13.9359998703003,49.1103782653809,114.697204589844,81.6411590576172,182.460006713867,40.5180511474609,185.913162231445,155.343338012695,21.6150512695312,82.7210083007812,31.3460216522217,12.6582794189453,142.075668334961,123.349998474121,102.002815246582,15.917064666748,182.679458618164,298.010009765625,134.939697265625,31.5778217315674,31.987003326416,94.7896957397461,12.8570003509521,34.2792320251465,24.3799991607666,267.660003662109,3.37754535675049,67.6741714477539,39.9324607849121,16.7800006866455,40.8252410888672,22.7433338165283,30.3159198760986,30.5349998474121,53.5586967468262,117.595252990723,85.75,22.2099990844727,89.2529907226562,48.7091331481934,370.850189208984,256.595367431641,78.5891189575195,134.372543334961,178.320007324219,13.7600002288818,55.6706008911133,84.0500030517578,104.01000213623,20.6746673583984,78.1183166503906,215.824966430664,63.3604278564453,11.6160001754761,104.236610412598,164.080001831055,126.840705871582,25.8299999237061,159.740005493164,39.6373558044434,39.810001373291
"2019-01-03",215.699996948242,110.100769042969,17.0499992370605,50.9678268432617,50.5028038024902,75.0139999389648,57.2950782775879,153.559494018555,71.2732315063477,33.8324432373047,29.3231506347656,137.940505981445,32.1728210449219,84.4800033569336,121.849998474121,43.2900009155273,17.1778125762939,307,1639.47583007812,19.2045707702637,41.5299987792969,71.2430114746094,287.5,102.349998474121,38.6653099060059,33.779972076416,36.9829788208008,55.3418731689453,29.3396987915039,11.7224998474121,32.7280006408691,181.710357666016,18.5702857971191,84.1736068725586,28.0650005340576,75.1017837524414,76.6008605957031,24.8338222503662,9.67259883880615,13.5139999389648,50.5115547180176,113.165962219238,80.0113067626953,178.020004272461,38.2890396118164,180.224899291992,150.080001831055,21.5376453399658,78.0803909301758,31.3243312835693,12.0477933883667,137.638122558594,124.360000610352,96.5732879638672,15.2128534317017,174.437973022461,296.589996337891,131.021209716797,29.3516693115234,30.2777729034424,91.3025512695312,12.6569995880127,34.150333404541,24,271.200012207031,3.1734836101532,64.9141845703125,38.4667892456055,15.6499996185303,40.4279975891113,23.0753326416016,29.6138248443604,29.9500007629395,52.6533050537109,114.451530456543,82.0899963378906,21.5200004577637,88.4199295043945,47.266529083252,370.49169921875,249.078750610352,77.932487487793,129.267288208008,169.119995117188,12.9790000915527,53.2557792663574,81.1100006103516,99.1500015258789,20.0240001678467,73.5114364624023,208.693756103516,63.1274108886719,10.956000328064,101.051467895508,163.729995727539,122.26978302002,25.6800003051758,154.020004272461,39.4811820983887,39.3199996948242
"2019-01-04",226.190002441406,114.488731384277,19,53.5821495056152,53.2191581726074,78.7695007324219,57.8226051330566,158.808685302734,73.0036392211914,35.276725769043,31.331335067749,143.909088134766,32.8862838745117,87.0899963378906,128.279998779297,46.0099983215332,18.0403957366943,318.329986572266,1693.13208007812,19.3933219909668,43.2599983215332,71.9357604980469,302.739990234375,105.349998474121,40.4835090637207,35.3015937805176,37.4735336303711,57.6968536376953,30.3306751251221,12.1400003433228,33.8610000610352,186.987045288086,19.1214809417725,86.6137771606445,29.0599994659424,78.0461502075195,82.1578598022461,25.1152572631836,10.0695724487305,13.3819999694824,52.8339195251465,117.124633789062,83.1363906860352,187.429992675781,40.6385269165039,187.375885009766,157.226669311523,21.9849071502686,83.0758895874023,32.1777687072754,12.6363143920898,141.560516357422,128.550003051758,102.335052490234,15.6662483215332,182.698669433594,315.329986572266,137.197341918945,30.5421943664551,31.9381656646729,95.5489501953125,13.039999961853,35.0956153869629,24.8950004577637,297.570007324219,3.37680006027222,68.0530166625977,39.7933387756348,16.5,42.1704216003418,22.7880001068115,30.9289531707764,30.7316665649414,54.4887924194336,118.892059326172,86.2699966430664,22.6900005340576,90.2330627441406,48.0302658081055,395.852996826172,257.442291259766,80.0524597167969,136.761627197266,179.229995727539,13.8059997558594,55.0214500427246,83.9000015258789,101.699996948242,21.1793327331543,76.8363342285156,218.126602172852,65.525520324707,11.7919998168945,105.512588500977,172.699996948242,127.537315368652,26.1399993896484,163.350006103516,39.8675270080566,41.7700004577637
"2019-01-07",229.259994506836,113.869361877441,20.5699996948242,53.4752883911133,53.1038398742676,81.4755020141602,57.4998092651367,160.945785522461,73.4627151489258,35.1982040405273,31.8891620635986,147.196914672852,32.5505294799805,92.7099990844727,132.720001220703,48.1500015258789,18.5250911712646,322.399993896484,1687.48352050781,19.7882843017578,43.4199981689453,71.6494293212891,301.470001220703,104.870002746582,40.5515441894531,35.5401229858398,38.2717247009277,57.6062622070312,30.0088233947754,12.2075004577637,34.1860008239746,187.676116943359,19.0179405212402,86.9673080444336,32.4874992370605,80.1548919677734,85.2429046630859,25.1602878570557,10.1431579589844,14.0179996490479,53.0738906860352,117.777145385742,83.7245254516602,186.889999389648,40.8278732299805,190.234268188477,159.479995727539,22.2601490020752,84.2587814331055,32.7853050231934,12.748893737793,141.433959960938,134.100006103516,102.524887084961,16.0231761932373,184.104385375977,328.940002441406,137.296783447266,31.4362010955811,33.2078819274902,95.6708145141602,13.1230001449585,35.3362236022949,24.8649997711182,315.339996337891,3.55557107925415,68.55810546875,40.2527694702148,17,42.8385238647461,22.6459999084473,30.8922786712646,31.2250003814697,54.2007141113281,121.927711486816,86.9300003051758,23.2099990844727,89.4571533203125,47.8944892883301,394.936920166016,258.962921142578,83.4200286865234,140.984634399414,186.669998168945,14.4390001296997,55.0214500427246,85.7600021362305,104.410003662109,22.3306674957275,78.15966796875,221.067657470703,66.4478607177734,12.4569997787476,105.618118286133,175.850006103516,129.837066650391,26.5300006866455,163.5,39.6949043273926,43.560001373291
"2019-01-08",232.679992675781,114.54109954834,20.75,53.9449729919434,53.4960060119629,82.8290023803711,58.2084121704102,163.009674072266,75.2549438476562,35.8692016601562,30.5968589782715,146.113464355469,32.0049476623535,94.8199996948242,133.869995117188,49.4099998474121,19.067289352417,324.440002441406,1662.93774414062,19.6294727325439,43.6699981689453,74.1433410644531,300.709991455078,107.569999694824,40.9902610778809,35.8279914855957,38.8454284667969,58.2584114074707,30.2544498443604,12.4075002670288,34.4930000305176,189.081436157227,19.2920246124268,89.1833190917969,32.8800010681152,81.9668121337891,86.6345977783203,25.5486679077148,10.4065141677856,14.3100004196167,52.7100639343262,117.533538818359,84.9150390625,189.289993286133,41.0860481262207,194.794311523438,160.996673583984,22.2687492370605,82.9211959838867,32.8142318725586,12.5328874588013,142.934326171875,135.860000610352,104.186004638672,16.1003494262695,185.444931030273,328.489990234375,141.752334594727,32.2903823852539,32.9539337158203,96.3645095825195,13.2309999465942,36.1612014770508,26.4150009155273,320.269989013672,3.46705389022827,68.9459609985352,41.4466781616211,16.5400009155273,43.226734161377,22.4046669006348,31.1909275054932,31.7383327484131,54.6122665405273,124.904441833496,88.6999969482422,24,90.3147354125977,47.4786834716797,395.564239501953,259.476776123047,85.8683166503906,144.454223632812,188.110000610352,14.543999671936,55.0647277832031,86.0999984741211,107.919998168945,22.3566665649414,78.060417175293,226.211959838867,65.7973709106445,12.8050003051758,106.558303833008,178.190002441406,130.543228149414,27.2399997711182,166.949996948242,40.1552276611328,43.9799995422363
"2019-01-09",235.429992675781,114.64574432373,20.1900005340576,53.760082244873,53.4154891967773,82.9710006713867,57.7675018310547,162.814636230469,77.1619110107422,36.4783172607422,31.8891620635986,152.175399780273,31.7279605865479,95.8099975585938,136.770004272461,50.2599983215332,19.0344257354736,326.630004882812,1626.03967285156,20.4784393310547,43.8499984741211,75.1224365234375,297.640014648438,107.5,41.3491973876953,35.6306037902832,38.7207107543945,58.2040710449219,30.5424289703369,12.5749998092651,35.3359985351562,190.305358886719,19.4838752746582,89.9852142333984,34.6875,83.4038848876953,86.5275421142578,25.3404064178467,10.4355630874634,14.6160001754761,52.5939445495605,118.081665039062,85.5244369506836,192.220001220703,41.3184280395508,194.190704345703,172.369995117188,22.7676277160645,85.0595321655273,32.6406555175781,13.179988861084,143.214462280273,136,103.654449462891,16.4862174987793,188.810897827148,339.959991455078,143.443054199219,33.5694236755371,34.6143264770508,97.7424850463867,13.1579999923706,36.0322952270508,26.6650009155273,319.959991455078,3.53523921966553,72.1028060913086,41.4660873413086,17.8099994659424,43.1364517211914,22.9026660919189,30.7193698883057,32.185001373291,54.5793380737305,126.211044311523,89.5500030517578,25.5400009155273,87.7910308837891,48.0387420654297,397.874328613281,261.896728515625,84.7426681518555,144.721878051758,190.470001220703,14.8620004653931,55.2897567749023,86.9599990844727,107.459999084473,22.5686664581299,79.5987930297852,232.516967773438,65.7488098144531,12.8800001144409,106.961212158203,182.300003051758,132.07958984375,27.2800006866455,166.179992675781,39.8346405029297,44.8800010681152
"2019-01-10",237.770004272461,115.553024291992,19.7399997711182,53.6199264526367,53.2002716064453,82.8109970092773,58.8304138183594,164.691680908203,78.2301712036133,36.5949020385742,32.3168296813965,151.885864257812,32.1140670776367,95.5,136.710006713867,49.689998626709,19.1822948455811,331.190002441406,1653.48388671875,20.7478485107422,44.3199996948242,75.6858825683594,292.670013427734,107.819999694824,41.637767791748,35.5647926330566,38.9119453430176,58.7022476196289,30.3391494750977,12.6499996185303,35.9620018005371,190.976318359375,19.7000942230225,90.8474655151367,35.4749984741211,82.888427734375,88.5712661743164,25.7738151550293,10.5498123168945,14.6420001983643,52.6713562011719,119.847846984863,86.303955078125,192.720001220703,41.7917709350586,197.448623657227,172.690002441406,22.6042079925537,85.2688140869141,32.980583190918,13.2321615219116,146.278350830078,131.610000610352,104.461288452148,16.5055122375488,189.948928833008,339.589996337891,143.413208007812,33.9102058410645,35.073371887207,97.1144332885742,13.2510004043579,36.3846321105957,26.6299991607666,324.660003662109,3.60094618797302,72.1840133666992,41.4369621276855,17.8899993896484,43.1725463867188,22.8959999084473,30.9970645904541,32.6666679382324,55.484733581543,126.348602294922,90.6999969482422,26.3799991607666,88.330078125,48.1999816894531,406.318145751953,265.300079345703,85.1085205078125,145.762741088867,190,14.8269996643066,55.5580749511719,87.8199996948242,110,22.9979991912842,80.8228759765625,234.946472167969,65.9818267822266,12.9670000076294,108.064529418945,186.029998779297,132.327697753906,26.8099994659424,167.960006713867,40.5004768371582,45.4099998474121
"2019-01-11",237.550003051758,114.846389770508,20.2700004577637,52.9062042236328,52.5471572875977,82.0279998779297,58.6099548339844,162.969039916992,79.5102996826172,36.2356185913086,32.3354339599609,151.334762573242,31.0144996643066,95.6500015258789,136.740005493164,49.4500007629395,18.9769191741943,333.209991455078,1642.20654296875,20.8351554870605,44.4500007629395,74.4389190673828,294.540008544922,105.389999389648,41.7104873657227,35.7704162597656,39.3609313964844,58.801872253418,30.1782131195068,12.664999961853,35.9269981384277,190.858459472656,19.8614883422852,90.76123046875,35.2750015258789,81.3029861450195,88.2695617675781,25.7738151550293,10.6195240020752,14.6540002822876,52.7642593383789,119.508514404297,86.0700988769531,192.910003662109,42.1101951599121,197.534851074219,168.440002441406,23.2234973907471,85.5599822998047,32.9878044128418,13.1900568008423,144.796112060547,132.160003662109,103.863288879395,16.7177391052246,188.936264038086,344.950012207031,143.015396118164,34.1359024047852,35.1710433959961,96.3645095825195,13.3859996795654,36.2901077270508,27.1849994659424,337.589996337891,3.69020676612854,71.6879272460938,41.3625564575195,18.4899997711182,43.5968856811523,22.5820007324219,31.1437683105469,32.6616668701172,55.3859672546387,125.061637878418,90.6500015258789,26.1599998474121,88.3382568359375,48.7939987182617,406.885711669922,263.352508544922,85.5587692260742,146.268325805664,191.690002441406,14.9429998397827,55.1599426269531,87.7099990844727,109.029998779297,23.1506671905518,81.5424270629883,236.067779541016,66.9915771484375,12.7299995422363,107.46012878418,188.160003662109,131.74560546875,27.1200008392334,167.460006713867,40.5169067382812,45.2000007629395
"2019-01-14",234.559997558594,114.192138671875,20.2299995422363,52.2620658874512,51.9258499145508,80.8604965209961,58.0981750488281,159.897506713867,77.2501907348633,35.690731048584,31.4800930023193,148.224395751953,29.8393878936768,93.7099990844727,134.75,49.7799987792969,19.0919342041016,330.420013427734,1668.81286621094,20.8601016998291,44.3800010681152,73.1919784545898,291.559997558594,104.300003051758,41.4453926086426,35.5401229858398,38.604305267334,58.539192199707,30.2968006134033,12.4799995422363,35.8470001220703,189.489379882812,19.8767185211182,89.7524261474609,35.685001373291,81.6231918334961,86.2063827514648,25.3516616821289,10.4704189300537,14.4519996643066,52.0597991943359,119.725982666016,85.3118591308594,189.789993286133,41.6110382080078,196.576675415039,167.570007324219,22.6644096374512,84.1040802001953,33.4507026672363,12.8532371520996,142.816787719727,139.729995727539,102.638778686523,16.4379806518555,188.482955932617,339.769989013672,144.596710205078,32.8568725585938,33.8622627258301,95.6614608764648,13.2110004425049,36.5049362182617,27.0750007629395,332.940002441406,3.73012566566467,70.9032135009766,40.7413215637207,17.7099990844727,43.4975700378418,22.7433338165283,31.4214534759521,32.4883346557617,55.336597442627,122.379638671875,90.4300003051758,24.3700008392334,87.6521911621094,48.6242790222168,399.019409179688,261.578582763672,85.0147018432617,144.781341552734,188.399993896484,14.9099998474121,54.8483390808105,87.4100036621094,104.980003356934,22.2933330535889,79.6732330322266,231.189041137695,65.9332962036133,12.8489999771118,106.663818359375,183.910003662109,130.829498291016,27,163.330001831055,40.2209892272949,45.0099983215332
"2019-01-15",242.360000610352,115.439613342285,20.3799991607666,54.0016326904297,53.539249420166,83.7279968261719,59.3500595092773,162.010208129883,77.347282409668,36.4212188720703,31.3778247833252,148.728729248047,30.3094291687012,95.379997253418,135.880004882812,49.3499984741211,18.9112033843994,337.540008544922,1674.16577148438,21.3274154663086,45.2700004577637,74.3465347290039,294,105.900001525879,41.6518478393555,36.2063522338867,38.4130821228027,59.7710380554199,30.3476181030273,12.3400001525879,36.2330017089844,191.329940795898,19.8279914855957,90.5715484619141,36.7625007629395,82.0136947631836,87.0919952392578,25.7738151550293,10.5711126327515,14.9259996414185,53.0429344177246,119.865226745605,86.2614212036133,196.009994506836,41.8261909484863,201.041931152344,171.820007324219,22.8536376953125,84.1859817504883,33.9280471801758,12.8138809204102,142.102798461914,141.130004882812,104.584701538086,16.2450466156006,189.534225463867,350.100006103516,148.137313842773,33.1976509094238,33.1981163024902,98.4361801147461,13.4309997558594,36.9002342224121,27.3799991607666,354.640014648438,3.71599340438843,70.4161529541016,40.7219161987305,17.8400001525879,43.8510627746582,22.9433326721191,31.2118816375732,33.3616676330566,56.0855979919434,128.470626831055,91.5999984741211,24.4099998474121,89.01611328125,47.2919883728027,403.291076660156,260.595184326172,85.2210922241211,147.894073486328,188.350006103516,15.4300003051758,55.4628753662109,88.4700012207031,106.48999786377,22.9619998931885,80.7484359741211,231.612030029297,65.1856994628906,13.0410003662109,108.045349121094,186.679992675781,131.058532714844,27.1000003814697,164.470001220703,41.0101280212402,45.3199996948242
