winner_num,ar,ar_self
1.0,0.005928638519502094,-0.3270329071538106
2.0,0.20032731252497715,-0.2839628793023288
3.0,-0.045949165740699294,-0.22590259036475424
4.0,-0.0733270178678973,-0.29924816672478394
5.0,-0.07049324112192257,-0.27305109500908453
6.0,-0.06299139236842499,-0.26075074613193205
7.0,-0.10176288449347004,-0.29521449230976293
8.0,-0.13520944257466627,-0.30133681601187334
9.0,-0.15757942308045625,-0.31103426350725694
