winner_num,ar,ar_self
1.0,0.7244132348882868,-0.7329288271352915
2.0,1.0886889613596669,-0.4888114468169068
3.0,1.3295209684633091,-0.4881725826557599
4.0,0.8082178183365616,-0.4152350537563648
5.0,1.1590949629536627,-0.25086138971762273
6.0,0.9783114497026772,-0.06799686173077302
7.0,0.9434922396058076,0.0836318013353845
8.0,0.7522834650658574,0.014951879567297821
9.0,0.7769954065861766,-0.006255126334310246
10.0,0.712490677575305,0.02282503693158544
11.0,0.7580460345467355,0.05016116153880246
12.0,0.802039811662187,0.02125601958156853
13.0,0.818841591739867,0.05690188827076925
14.0,0.8251738176118022,0.05217383069507342
15.0,0.8156188842461412,0.09608414984170754
16.0,0.8229133129793482,0.05500905011732726
17.0,0.8172221395903034,0.03823278394118357
18.0,0.7586664577199147,0.0023280083540087038
19.0,0.7001055470627264,-0.0016081686481909108
